,기업명, ESG 종합등급,환경,사회,지배구조,평가연도
693,한솔홀딩스,B+,B,B+,A,2019
694,한솔홈데코,A,B+,B+,A,2019
695,한신공영,C,C,C,B,2019
696,한신기계공업,B,B,C,B,2019
697,한양증권,C,D,B+,C,2019
698,한온시스템,B+,B+,B+,B+,2019
699,한올바이오파마,B,D,B+,B+,2019
700,한익스프레스,B,B,C,B,2019
701,한일시멘트,-,-,-,-,2019
702,한일철강,D,D,C,C,2019
703,한일현대시멘트,B,B,B,B,2019
704,한일홀딩스,C,D,B+,B,2019
705,한전KPS,B+,B+,B+,B+,2019
706,한전기술,B+,B+,A,B+,2019
707,한전산업,B,B+,B+,B,2019
708,한진,B,B,B,B,2019
709,한진중공업홀딩스,C,C,C,B,2019
710,한진칼,C,B,A,C,2019
711,한창,D,D,C,D,2019
712,한창제지,C,B,B,D,2019
713,한화,B+,B,B+,A,2019
714,한화생명,B+,B+,A,B,2019
715,한화손해보험,B+,C,A,B+,2019
716,한화솔루션,B,C,A,B+,2019
717,한화시스템,-,-,-,-,2019
718,한화에어로스페이스,B+,B+,B+,A,2019
719,한화투자증권,B,D,A,B,2019
720,해성디에스,A,A,A,A,2019
721,해태제과식품,B,D,B+,B+,2019
722,핸즈코퍼레이션,B,B,B,B+,2019
723,현대건설,A,A,A,B+,2019
724,현대건설기계,B+,C,B+,A,2019
725,현대그린푸드,A,B,A,A,2019
726,현대글로비스,A,A,A,A,2019
727,현대두산인프라코어,A,A,A,B+,2019
728,현대로템,B+,B,A,B+,2019
729,현대리바트,A,B,A,A,2019
730,현대모비스,A,A,A+,B+,2019
731,현대미포조선,B+,B,A,B,2019
732,현대백화점,A,B,A+,A,2019
733,현대비앤지스틸,B+,B+,A,B,2019
734,현대약품,B,B,B+,B,2019
735,현대에너지솔루션,-,-,-,-,2019
736,현대엘리베이터,B+,B+,B+,B+,2019
737,현대오토에버,-,-,-,-,2019
738,현대위아,B+,B,A,B+,2019
739,현대일렉트릭,B+,B,A,B+,2019
740,현대자동차,B+,A,A,B,2019
741,현대제철,B+,B+,A,B+,2019
742,현대차증권,B+,C,A,B+,2019
743,현대코퍼레이션,B,D,C,B+,2019
744,현대코퍼레이션홀딩스,C,D,C,B,2019
745,현대퓨처넷,B+,C,A,B+,2019
746,현대해상,A,A,A+,A,2019
747,현대홈쇼핑,A,B,A,A,2019
748,형지엘리트,C,D,B,C,2019
749,혜인,C,B,B,C,2019
750,호전실업,B,D,B,B+,2019
751,호텔신라,A,A,A,A,2019
752,화성산업,B,D,B,B+,2019
753,화승엔터프라이즈,B,D,B,B+,2019
754,화승인더스트리,B,B,B,B+,2019
755,화승코퍼레이션,B+,B+,B+,B+,2019
756,화신,C,D,B,C,2019
757,화인베스틸,B,B,C,B+,2019
758,화천기계,C,B,C,C,2019
759,화천기공,C,D,B,B,2019
760,환인제약,B,C,B,B+,2019
761,황금에스티,D,D,C,C,2019
762,효성,C,B,B,D,2019
763,효성 ITX,B,C,B+,B,2019
764,효성중공업,-,-,-,-,2019
765,효성첨단소재,-,-,-,-,2019
766,효성티앤씨,-,-,-,-,2019
767,효성화학,-,-,-,-,2019
768,후성,B,B,C,B,2019
769,휠라홀딩스,C,D,B,C,2019
770,휴니드테크놀러지스,B,C,B,B+,2019
771,휴비스,B,B,B,B,2019
772,휴스틸,B,B,C,B,2019
773,흥국화재,B,D,B,B,2019
774,흥아해운,C,D,C,B,2019
